Institution,Year,Metric,Value,Unit
ECCE,2019,Enrolment,16445,
Primary,2019,Enrolment,54820,
Secondary,2019,Enrolment,21379,
Total,2019,Enrolment,92644,
ECCE,2019,Schools,863,
Primary,2019,Schools,479,
Secondary,2019,Schools,111,
Total,2019,Schools,1453,
ECCE,2019,Teachers,1314,
Primary,2019,Teachers,1928,
Secondary,2019,Teachers,988,
Total,2019,Teachers,4230,
ECCE,2020,Enrolment,16253,
Primary,2020,Enrolment,56633,
Secondary,2020,Enrolment,18488,
Senior Secondary,2020,Enrolment,5455,
Total,2020,Enrolment,96829,
ECCE,2020,Schools,876,
Primary,2020,Schools,482,
Secondary,2020,Schools,114,
Total,2020,Schools,1472,
ECCE,2020,Teachers,1153,
Primary,2020,Teachers,1933,
Secondary,2020,Teachers,918,
Total,2020,Teachers,4004,
Primary,2020,Teachers_Male,482,
Secondary,2020,Teachers_Male,114,
Primary,2020,Teachers_Female,792,
Secondary,2020,Teachers_Female,498,
ECCE,2021,Enrolment,16571,
Primary,2021,Enrolment,57072,
Secondary,2021,Enrolment,19765,
Senior Secondary,2021,Enrolment,5955,
Total,2021,Enrolment,99363,
ECCE,2021,Schools,779,
Primary,2021,Schools,461,
Secondary,2021,Schools,110,
Total,2021,Schools,1350,
ECCE,2021,Teachers,1281,
Primary,2021,Teachers,2080,
Secondary,2021,Teachers,1064,
Total,2021,Teachers,4425,
Primary,2021,Teachers_Male,461,
Secondary,2021,Teachers_Male,110,
Primary,2021,Teachers_Female,819,
Secondary,2021,Teachers_Female,568,
ECCE,2022,Enrolment,15074,
Primary,2022,Enrolment,56391,
Secondary,2022,Enrolment,21009,
Senior Secondary,2022,Enrolment,6337,
Total,2022,Enrolment,98811,
ECCE,2022,Schools,695,
Primary,2022,Schools,450,
Secondary,2022,Schools,112,
Total,2022,Schools,1257,
ECCE,2022,Teachers,1332,
Primary,2022,Teachers,2152,
Secondary,2022,Teachers,1135,
Total,2022,Teachers,4619,
Primary,2022,Teachers_Male,450,
Secondary,2022,Teachers_Male,112,
Secondary,2022,Teachers_Female,611,
ECCE,2024,Enrolment,15768,
Primary,2024,Enrolment,56104,
Secondary,2024,Enrolment,24825,
Senior Secondary,2024,Enrolment,7846,
Total,2024,Enrolment,104543,
ECCE,2024,Schools,721,
Primary,2024,Schools,461,
Secondary,2024,Schools,146,
Total,2024,Schools,1328,
ECCE,2024,Teachers,1085,
Primary,2024,Teachers,1966,
Secondary,2024,Teachers,1093,
Total,2024,Teachers,4144,
ECCE,2024,GER,57.0,%
ECCE,2024,GPI,1.04,
Primary,2024,GER,110.8,%
Primary,2024,GPI,0.98,
Secondary,2024,GER,64.0,%
Secondary,2024,GPI,1.16,
ECCE,2024,NER,38.8,%
ECCE,2024,NER_GPI,1.07,
Primary,2024,NER,85.9,%
Primary,2024,NER_GPI,1.03,
Secondary,2024,NER,57.4,%
Secondary,2024,NER_GPI,1.17,
Primary,2024,Teachers_Male,459,
Secondary,2024,Teachers_Male,141,
Secondary,2024,Teachers_Female,622,
